Process,Narrative,SME Hazard Type Label,,SME Severity Label
QSI Observation,PIB-5 phone is not working,Safety - fire and explosion,,
Employee Suggestion,Fabricate two step ladder for cooling water chemical D-661 Corrosion Inhibitor to get safely to the pump.,Safety - contact with chemicals,,
QSI Observation,Signs of leakage are observed on the suction line for pumps B90-G-102 B/C. Action to be taken to ensure the leakage is controlled and the area to be cleaned.,None - minor maintenance,,
Employee Suggestion,Install SCABA at Belding 120 ISF Substation,Safety - fire and explosion,,
QSI Observation,"Clean, inspect and repair as necessary 22-PI-2241 and 22-PI-2230 located in between the Anti-Foam B91-D-0221B and B91-D-0121B systems. Pressure indicators have plugs loose and wet marks indicating a possible release. In the case a LOPC is identified,",None - minor maintenance,,1C
QSI Observation,Removed unneeded blinded from the area,None - minor maintenance,,
Employee Suggestion,In Injection compressor area we have only one SCABA. at the north of the compressors.adding another SCABA in the south of the compressor.,None - minor maintenance,,
QSI Observation,"Check and correct the following alarms shown in the annunciator panel: MCC-202, SG-301, SG-201, MCC-201 and SG-003.",None - minor maintenance,,
Unsafe Condition,GROUND WIRE,Safety - slip trip and fall,,1C
QSI Observation,Chemical Storage Bldg. 209: Move materials obstructing access to phone.,None,,
Unsafe Condition,THREE NAIL IN GROUND UNDER D-0006,Safety - slip trip and fall,,
Employee Suggestion,"There is no smoking shelter nearby the gate. Thus, the security men smoke nearby the plant gate in non-smoking area. This reflect a bad impression for the visitors about the safety in the plant. I suggest to construct a new smoking shelter in the yar",Safety - fire and explosion,,
QSI Observation,the stored condition of chemical in Waste Hazardous Bulding is bad. It needs o be stored as per storing condition on chemicals MSDS,Safety - contact with chemicals,,
QSI Observation,Hose reel SAP No 4541477 its nozzle is not providing the popper power cone stream due to some dirt blocked the top of the nozzle,Safety - contact with chemicals,,
Unsafe Condition,SMOKE ALARM,None - minor maintenance,,
Employee Suggestion,"in B90 area, wind socks must be installed on top of the occupied buildings, 304, 305, 303, and 302. Fires can exist at anytime, and in order to utilize the right assembly point at the quickest time, visible wind socks have to be installed.Wind socks ",Safety - contact with chemicals,,
QSI Observation,De-methanizer at NGL-2 has missing W/SOCK,None - minor maintenance,,
QSI Observation,one face shield and boots in Substation 401 battary room are missing,None - minor maintenance,,
QSI Observation,There are two padlocks at D-0401 & D-0402 isolated & locked by T&I locks,Safety - contact with chemicals,,
Employee Suggestion,"while ESOs , plant electrician, POD technicians or vendors working on 480 V Switchgears the worker is near to trip breakers by hit the controller by mistake or hit it by trolley when they working to disconnect or remove the breakers specially in doub",Safety - electric,,
QSI Observation,Clean compressors skids of sands,None - minor maintenance,,
Employee Suggestion,The road between SHAYBAH camp RIC and SHAYBAH NGL poor of safety items that can enhance the driving specially in the night time.,Safety - collision,,
QSI Observation,B-50-GIB-XFR(T)-703 remove the accumulated sand from the yard,None - minor maintenance,,
Employee Suggestion,In CGTG#B in BECC there is a tags not Aramco standard (instructions) on cubical.,Others,,1C
QSI Observation,All car seals at platform on top of NGL surge sphere B95-D-005A were improperly installed as they were just put in place and not fully engaged/closed.,None - minor maintenance,,
Unsafe Condition,COVER OPEN,Safety - collision,,1C
Employee Suggestion,"there some controls valve in our area need support, last week, we had job to do passing valve for these valve (PV-1644/ PV-1675/PV-1687), and the line was moving badly. So, I suggest to put additional support for these valve controls to avoid crack o",None - minor maintenance,,
QSI Observation,Loose grounding cable is observed inside the dike for B92-D-0043 Hot oil drum. Loose cables shall be repaired and properly secured or otherwise removed if no longer needed.,Safety - electric,,
QSI Observation,most of the Hose reels was in closed mode.,Safety - electric,,
QSI Observation,"Substation, Bldg. 303, Switchgear Room 100. Check and confirm if arc flash warning labels are correct. Label at T702-GIS-B726 has an incident energy of 85.0 cal/cm2, while label at the panel immediately next to it (both handling 13.8Kv), for B90-KM-0",Safety - electric,,
QSI Observation,One flange plastic cover was missing from B92-G-0015-A (sulfuric acid pump).,None - minor maintenance,,
QSI Observation,All light inside the mechanical room of the ISF substation Bld#120 found not working.,None - minor maintenance,,
Employee Suggestion,At the CCR we have an ESD panel and its uncovered also not clear during an emergence or hurry action maybe the console operators pull the wrong ESD due to the tag is not organized with pull button. So my suggestion is to cover each pull button with o,Safety - fire and explosion,,
QSI Observation,Improve housekeeping around Regen Gas Compressor K-202.,Safety - slip trip and fall,,
Employee Suggestion,"SNGL Admin Bldg stair is covered with the marble from both sides walking side and the bottom side.to provide a fence to prevent the human being to walk at the bottom of the stair, as any drop of marble pieces may lead to a real serious injury",Others,,
Unsafe Condition,42 - TI - 1522 - CAB,None - minor maintenance,,
Unsafe Condition,W-40 SPRAY IN THE FIELD,Safety - fire and explosion,,
QSI Observation,Switchgear room. Some breakers at MCC-001 are using car seals as an isolation device. This is not allowed. Install locks in breakers that require electrical isolation.,None - minor maintenance,,
Unsafe Condition,SAFETY SHOWER,Safety - contact with chemicals,,
QSI Observation,1. Hanging Task light reflector which located at the west side of B90-E-0112 A at NGL 1,Safety - collision,,2C
QSI Observation,B90-302-FP-001 inspection log book not found .,Safety - fire and explosion,,
Employee Suggestion,CHB sign for new type of antifoam chemical (Glycol) still not installed in gas treat area. I suggest to install CHB sign next to the antifoam tanks.,Safety - contact with chemicals,,1C
Unsafe Condition,RG SUB STATION,Safety - electric,,1C
Employee Suggestion,"at GT#2 east of anti foam drum the eye wash is hard to reach it, so I suggest to redesign to be shorter than now.",Safety - contact with chemicals,,
Unsafe Condition,UNSAFE ELECTRICAL WIRE AT SHAYBAH RIC,Safety - slip trip and fall,,
Unsafe Condition,N2 BLIND IN RGC 1 & 3,None - minor maintenance,,
Near Miss,fridge inside operator shilter on OME-310,None - minor maintenance,,1C
Employee Suggestion,"The cables doors of all SNGL low and high voltage equipment do not have interlock to prevent the technician from opening the back door of the switchgear while the cables are live. As per SAES-P-116, section 9.5.9, ""Switchgears shall be equipped with ",Safety - electric,,
Employee Suggestion,Install fire extinguisher behind loop transformer #301,Safety - fire and explosion,,
QSI Observation,Inj#2 Unused insulation material was found left under B93-D-0273,Safety - slip trip and fall,,
QSI Observation,Power panel LP-0001 at the switch rack B54-SWBD4-SR-02 have the door loose / partially open. Inspect and repair electrical panel as necessary.,Safety - electric,,
Near Miss,short cut lifting,Safety - collision,,
Employee Suggestion,I Suggest to have safety video library in SNGL E-cabinet or shark website.,Others,,
QSI Observation,Emergency Response Plan is not accessible at OME building.,Safety - fire and explosion,,
QSI Observation,PIB-1 south door not locked,None - minor maintenance,,
Employee Suggestion,"I suggest to exist no using mobile signs next to main entrance of each unit, in order to remind every one who wants to enter the area that cell phones are not allowed and strictly prohibited.",Safety - contact with chemicals,,
QSI Observation,fire hydrant B92-H-107 has one bolt missing,None - minor maintenance,,
Employee Suggestion,"It is observed in the inlet and gas treat near the anti-foam drums (D-0121/0221), some anti-foam pallets are broken which make the drums placed on them in bad position which can fall and hurt people near by.Remove these pallets from site and always i",Safety - collision,,
QSI Observation,The following 7 SCBAs were not inspected in July: ?É¬¢?Ç‚Ç¨?Ç¬¢ B92-SB-703/704/705 (Located at the north side of OME Bldg. 208) ?É¬¢?Ç‚Ç¨?Ç¬¢ B92-SB-906 (Located at the south side of Bldg. 211) ?É¬¢?Ç‚Ç¨?Ç¬¢ B92-SB-803/804/805 (Located at the west side of Bldg. 203),None - minor maintenance,,
QSI Observation,B-58-Q-0007 covers must be sealed as per standard.,Safety - fire and explosion,,1C
QSI Observation,"HVAC Room-108 out & inside Fire extinguisher 56-104,178,179 Proponent inspection record expire date.",Safety - fire and explosion,,
QSI Observation,"Wet marks were observed at several pumps skids of the B95-G-0006 Lube Oil Pumps system. Clean, inspect and repair equipment as necessary. In the case a LOPC is identified, report it as per the requirements of the GI-6.031 - Reporting, Investigation a",None - minor maintenance,,
QSI Observation,The tape wrap & stenciling for 2?É¬¢?Ç‚Ç¨?Ç¬ù chemical line U-0005 to B92-D-0006A/B are damage and need to be fixed.,Safety - contact with chemicals,,
Employee Suggestion,Trucks Parking,None,,1C
QSI Observation,"MCC-007. Panel ?É¬¢?Ç‚Ç¨?Ç?ìAGJ?É¬¢?Ç‚Ç¨?Ç¬ù (B58-KM-091A). Lock and tag placed in the wrong hole, therefore, panel is not properly isolated. Reinstall lock in the correct hole.",Safety - electric,,
QSI Observation,Blinds placed beside IGC#1 K.O drum needs replacment,Others,,
Unsafe Condition,METHANOL BATTERY LIMIT,Safety - fire and explosion,,1C
Near Miss,Methanol flush over,Safety - slip trip and fall,,5C
QSI Observation,"There are 28 unidentified, blue plastic drums near B91-U-0101 (antifoam dosing package). It seems there is chemical transfer taking place creating a chemical spill in the area. In addition, most drums (23 out of 28) are open, creating a strong chem",Safety - contact with chemicals,,
QSI Observation,Missing Drain/Breather from 2?É¬¢?Ç‚Ç¨?Ç¬ù GUA T fitting connected to Instrument Junction Box 32-ZXJB-203 located at the west side of B90-D-0217B at NGL Train 2.,None - minor maintenance,,
QSI Observation,G-0209 A/B needs general housekeeping,None - minor maintenance,,
Employee Suggestion,"There is no sample point in all CGTGs cooling water system. I suggest to install oil sample point. so, it will be safe & easy to take a sample when requested.",Safety - contact with chemicals,,
QSI Observation,Inj#1: Moderate quantity of oil was found accumulated on the skid of B93-D-0171,Safety - slip trip and fall,,
QSI Observation,AL-OTAISHAN Contractor keeping spare batteries at their tool boxes and changing at field,Others,,
QSI Observation,PDIT-2265 near D-0208 is dropping from tube,Safety - fire and explosion,,
Near Miss,Sample Point Leaking,Safety - contact with chemicals,,2C
QSI Observation,Operator Shelter Bldg. 305. Perform housekeeping around the operator shelter.,Safety - fire and explosion,,
QSI Observation,Unused Opening at Task light Junction box that is located at the south side of B91-G-0109B at Gas Treat 1,None - minor maintenance,,
Unsafe Condition,FACE SHIELD,Safety - contact with chemicals,,
Employee Suggestion,I recommend to install H2S AND LEL detectors in the manifold area because there are no detectors at all critical area .,Safety - contact with chemicals,,
QSI Observation,HVAC Room-108 Exit sign not working north door to CCR,None - minor maintenance,,1C
Unsafe Condition,"there are wrong stenciling for H2S 91-AIT-2151 B4B-0005B, I found it FGT LEL detectorcompleted",Safety - contact with chemicals,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Improve housekeeping and sand removal near Cogen G and main Sub Bldg 200,None - minor maintenance,,
Near Miss,A Contractor Under Crane Load,None - minor maintenance,,4C
Employee Suggestion,on Inlet area B97-SP-104 north west of D-0001 close to inter suction corner,None,,
Employee Suggestion,At CGTG#E in PEECC there is a tags not Aramco standard (instructions) on cubical.,Others,,
Employee Suggestion,stop sign on the left side of the Aramco bus,Safety - collision,,
Near Miss,Contractor working without gloves,Safety - contact with chemicals,,3C
Near Miss,Hand Rail relocate,None,,1C
Unsafe Condition,GROUNDED LINE DAMAGE,None - minor maintenance,,
Unsafe Condition,ESO BUILLDING102 PADLOCKS BOARD IS GLASS,Others,,
Employee Suggestion,lock board in the supervisor office it has a galss doors so that I suggest to replace it by plastic doors,None - minor maintenance,,
Employee Suggestion,Install SCABA at Belding 101 LAB,None - minor maintenance,,
Unsafe Condition,I found electric cable coming from the ground between RG#3 and IGC#2.checked by electrical and recommend to remove it (no harm of removal).,None - minor maintenance,,
Employee Suggestion,THERE IS LADDER FOR D-634B WITHOUT SAFETY GUARD.INSTALL SAFETY GUARD.,Safety - slip trip and fall,,
QSI Observation,Detached ground jumper from 22-LV-2314 that is located at the west side of B91-D-0202C at Gas Treat 2,None - minor maintenance,,
QSI Observation,Un-Insulated Accessible Hot Oil Piping on G-0041 A-F while should be insulated as per SAES-B-053,None - minor maintenance,,
Employee Suggestion,The skid that on placed on B-48 KM-0101A/B for CGTG-A have gap between the skid and the motor side.,None - minor maintenance,,
QSI Observation,IGC#2 oil skid needs cleaning & Maintnance,Safety - slip trip and fall,,
QSI Observation,"Electrical Room, Bldg 207: Replace burned-out lights. Three out six light fixtures are not working.",None - minor maintenance,,
Employee Suggestion,to configure an alarm for compressors load sharing if it get connected or disconnectedto configure an alarm for compressors load sharing if it get connected or disconnected to notify the DCS operator about the situation,None - minor maintenance,,
QSI Observation,Inj#3Moderate quantity of oil was found accumulated on the skid of B93-D-0371,Safety - slip trip and fall,,
Employee Suggestion,At CGTG#H in PEECC there is a tags not Aramco standard (instructions) on cubical.,Others,,
QSI Observation,No coating was available on the discharge spools of B92-G-0012-B,None - minor maintenance,,
Employee Suggestion,To provide CHB Sign for CCR building #100 in battery room.,Safety - fire and explosion,,
QSI Observation,Deluge valve B95-DVS-009 isolation valves need to be painted & car seal and upstream valve has little gland leak,None - minor maintenance,,1C
QSI Observation,3- Make sure replacement spare part is available for 92LIT3105.,None - minor maintenance,,
Near Miss,insolation for cable trays,Safety - fire and explosion,,1C
QSI Observation,There are no records of signed compressor start-up procedures available for review.,None - minor maintenance,,
Employee Suggestion,place traffic direction sign next to Flare exit gate .,Safety - collision,,
Employee Suggestion,Drawing for the area an entrance to be easy provide specific location and to guideline the person during the emergency,Safety - fire and explosion,,1C
QSI Observation,"DC Fire Extinguisher #101 found, No Caver",Safety - fire and explosion,,
Employee Suggestion,both of OME exit doors are normal doors with handle it must be as per CSM a panic doors in case of emergency,Safety - fire and explosion,,
QSI Observation,Gas smell at SC-107,Safety - contact with chemicals,,
Employee Suggestion,"i'd like to recommended for Shaybah Area haveing the most clear Sunlight Currently most shaybah NGL Plant parking areas are open-air areas directly exposed to sun shine. Direct exposure to sun rays, vehicles are more vulnerable to faster aging of par",None,,
QSI Observation,"Poor Housekeeping around C3 column consisting of OWS cover, maintenance tools and drums pallets",Safety - contact with chemicals,,1C
QSI Observation,Hose reel #005 and 006 without SAP number,Safety - fire and explosion,,
QSI Observation,G-0004 A/B tanker filling line is not blocked by Boiler maker and covered by blastic,None - minor maintenance,,
QSI Observation,old scaffolding used as platform doesn?É¬¢?Ç‚Ç¨?Ç‚Ñ¢t have tag,None - minor maintenance,,
Unsafe Condition,COGEN INTAKE FILTER LADDERS,None - minor maintenance,,
Employee Suggestion,WE HAVE A LADDER FOR PZV ON B48- D-0103 INSTRUMENT AIR RECEIVER TANK FOR CGTG-A WHIT OUT SAFETY GUARD.I SUGGEST INSTALL SAFETY GUARD TO PREVENT WHO IS USING THIS LADDER FROM FALLING.,Safety - slip trip and fall,,
QSI Observation,GIS substation has cracks in the internal wall at two different locations,None - minor maintenance,,
QSI Observation,Four boiler drain makers are removed near Step Ladder for 14'' lean from GT,None - minor maintenance,,
QSI Observation,"DC Fire Extinguisher #003 found, No SAP numbers legibly",Safety - fire and explosion,,
Employee Suggestion,"we have chemical store that contain different kind of chemical that we handle it in the area, employee may expose to them at any time, There is no CHB around that location for any craft to know the hazard of that chemicals.",Safety - contact with chemicals,,
QSI Observation,B92-G-0012 A/B casing drain blind open and B/V close which is not meeting the P&ID slandered.,None - minor maintenance,,1C
QSI Observation,Stenciling need to be fixed : B92-K-0011A/C/D/E & B92-E-0051 A/B.,Safety - contact with chemicals,,
QSI Observation,Insulation on E-0006 interconnecting pips need to be re-installed,Others,,
Employee Suggestion,lad must be marked so everyone can identify the dangerous area that required PPE as the other labs doing.,None - minor maintenance,,
QSI Observation,Emergency diesel generator room-101 24V control panel A/C working with high temperature 37?É‚Ñ¢?Ç‚Äô,None - minor maintenance,,
QSI Observation,There are lots of chains thrown at site,Safety - slip trip and fall,,
QSI Observation,Inj#2. A little quantity of oil was found accumulated on the skid of B93-K-0210,Safety - slip trip and fall,,
QSI Observation,Hose was laying down on the ground connected to G-0005B,Safety - slip trip and fall,,
QSI Observation,"Building 309, UPS/Electrical Room. Warning signs and Arc rated PPE requirements should be posted outside of rooms where exposure to Arc Flash is possible.",Safety - electric,,
Employee Suggestion,Add water filters at all eye wash safety equipment?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s all over plant,Safety - contact with chemicals,,
QSI Observation,There is an exposed electrical cable coming from the ground around methanol injection pump B,Safety - contact with chemicals,,
Unsafe Condition,GROUND ELECTRICAL POWER OUTLET ADAPTOR,None - minor maintenance,,1C
Near Miss,Monkey leader screw lose,Safety - slip trip and fall,,
QSI Observation,fire trouble alarm activated in the CO2 room for CGTGs# E/F & G,None - minor maintenance,,
Employee Suggestion,"there is no H2S Sign at Sabkha# 63 in water well 894, 895 & 896. so, I suggest to provide an H2S sign so any one can know that there's an H2S expected in this area.",Safety - contact with chemicals,,
QSI Observation,Damaged concrete support for 2?É¬¢?Ç‚Ç¨?Ç‚Ñ¢?É¬¢?Ç‚Ç¨?Ç‚Ñ¢ pipe from B90-D-0203 to OWS G99,None - minor maintenance,,
QSI Observation,Check and repair oil leak at B93-KM-0501.,None - minor maintenance,,
QSI Observation,G-108 A skid and the area around are dirty of oil,Safety - slip trip and fall,,
QSI Observation,On plat ISF Substation#120 B-56- FE-97 TAG not update by fire inspection,None - minor maintenance,,
QSI Observation,B92-G-0005 A/B are having five open drain & vent boiler makers and closed valves,None - minor maintenance,,1C
QSI Observation,"Substation, Bldg. 303, Switchgear Room 100. At B90-NG2-SG-004. There are two arc flash warning labels on the same panel. One says it is for B90-NG2-SG-004-B041 with an incident energy of 51.7 cal/cm2, while the other label indicates it is for B90-NG2",Safety - electric,,
Unsafe Condition,GROUND WIRE,Safety - slip trip and fall,,
Employee Suggestion,in our workshop garage there isn't any laser safety cut off.to put a sign outside the shop to alert the employees that there isn't safety cut out.,Others,,
Employee Suggestion,We need to install a ladder for bypass FCV-1022 .,None - minor maintenance,,
Employee Suggestion,The ESD button only for the emergency case and sometime the ESD button active by mistake because there is not cover for the push or pull ESD button. I suggest to install cover for the ESD push or pull button to avoid by mistake active by anybody.,Safety - fire and explosion,,
QSI Observation,"Operator Shelter Bldg. 305, HVAC Room 108. Install arc flash warning labels in electrical panels B90-305 EH-01 and B90-305 EH-02.",Safety - fire and explosion,,2C
Near Miss,CABLE TRAY FALL DOWN.,Safety - collision,,2C
QSI Observation,Ensure all eye washes and safety showers operating pressure does not exceed 30 psig as per SAES-B-69. Several eye washes were found with pressure over 40 psig (B92-SS-012 and B92-EW-005).,Safety - contact with chemicals,,3C
Employee Suggestion,At cooling tower in north side there is a ladder without safety guard.install safety guards.,Safety - slip trip and fall,,
QSI Observation,B92-G-0045 A vent B/maker open with closed B/V.,None - minor maintenance,,
Near Miss,Hot Oil Circulation pump GM-0042 pipes,Safety - fire and explosion,,1C
QSI Observation,LV Spare Breaker in OFF position but it was not locked and tagged (LOTO). This breaker is located in B92-UT1-MCC-0004.,Safety - electric,,1C
Unsafe Condition,LEAKING VALVE,Others,,1C
Employee Suggestion,All plant lights the same color & it's difficult to identify the exact wind location of wind sock during Night Time.Install flashing light or having a Reflective Light on each wind sock,Safety - contact with chemicals,,
QSI Observation,RMU:. Unused insulation material was found left nearby B95-E-0001C,Safety - slip trip and fall,,
Employee Suggestion,"the road from RIC to NGL Plant and Admin has two different speed signs on each opposite lanes. The lane going to the admin shows speed as 60 km/h, while the road coming back from admin shows speed as 80 km/h for the same portion of the street.Speed s",Safety - collision,,
Near Miss,Desiccant Bags,Others,,1C
Near Miss,Not wearing ear plugs,Others,,1C
Employee Suggestion,I would like to demonstrate this work permit system which is used in RT refinery widely and I will give some Advantages that this system provide due to I do not have the full access to this website.,Safety - fire and explosion,,
QSI Observation,EDG Control Room HVAC System is not reliable in cooling the room and it needs to be checked by Maintenance.,None - minor maintenance,,
QSI Observation,NS1 substation has some exit signs that were not illuminated.,None - minor maintenance,,
Unsafe Condition,WIND SOCK IS DAMAGE,Safety - contact with chemicals,,
QSI Observation,Remove all materials & oil drums beside G-0006 B,None - minor maintenance,,
Employee Suggestion,G-639A/B LOWER BAISE SKID EQIPED WHIT NO DRIN ACCES FOR ACCUMILITED WATER WHITCH CAUSE CORROSSION TO THE BAIS METAL.,None - minor maintenance,,
Near Miss,Wind Sock of KM-103 A/B,Safety - contact with chemicals,,1C
Employee Suggestion,Currently we do not have a First aid kit installed at our maintenance shop at NGL area.to avail the First aid kit inside the shop.,Others,,
Unsafe Condition,WIRE COVER WITH GOUNDING ARE DISCONNECTI,None - minor maintenance,,
Employee Suggestion,Technician should add the w/p # to the PM sheet to make sure the compliance of the equipment and to have more control of both (comp liance of conducting PMs and control of W/Ps,Others,,
QSI Observation,There are empty oil drums placed beside RG#5 skids needs to be removed,Safety - slip trip and fall,,
Employee Suggestion,I suggest to install Scott air back at Gas treat fin-fan platform,Safety - contact with chemicals,,
QSI Observation,OWS nearby the ladder for D-0004 not painted nor stanciled,None - minor maintenance,,
Employee Suggestion,in EDG building near GIS building at utility area has no HAZCOM label. I suggest to install HAZCOM label for diesel tanks as safety requirement and precautions to identifies the hazards when dealing with it.,Safety - slip trip and fall,,
QSI Observation,Broken 1 ?É¬¢?Ç‚Ç¨?Ç?ìvent at top of Neutralization pit (B92-Q-0001) which is considered unsafe condition due to sharp edge.,Safety - fire and explosion,,
QSI Observation,most of hose reel nozzel was open*to keep all HR Nozzel in close condition all the time,Safety - collision,,
Employee Suggestion,"recently we faced a lot of problem with Preventive Maintenance check.I have an idea it might solve this problem by making a special team just to do PM check around plant this team will consist of 5 machinist, 5 electrician and 5 instrument",Others,,
QSI Observation,D-0002 B HP flare R.O Drum level troll drain B/V 2 without wheel.,None - minor maintenance,,
QSI Observation,Portable scaffolding at B90-EM-0205 was found expired 05-10-2018,None - minor maintenance,,1C
QSI Observation,Hazardous Materials Store Shed (104): Several containers of chemicals were observed without a CHB label.,Safety - contact with chemicals,,
QSI Observation,E-0205 is leaking H/O and needs securing by barricade,None - minor maintenance,,
Employee Suggestion,install LEL detector on NGL1*2 battery limit.,Safety - contact with chemicals,,
QSI Observation,B93-WE-205 (150 DC Extinguisher) placed at site without N2 cylinder which is out of service,Others,,1C
Employee Suggestion,"please install Barricades/chains around and in front of security building in order to protect pedestrians when they get out of security bldg. and across the street. in addition, please mark-up a new pedestrians lines as I showed and explained in the ",Safety - fire and explosion,,
QSI Observation,G-0005A-E skid need cleaning,None - minor maintenance,,1C
Employee Suggestion,"During removal and install PZV?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢S of shipper pump A,B,C,D,E in RMU AREA we notice there were no isolation valves under the PZV?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢S in order to isolate them for removal these parts where directly install to the header. Moreover, they are very dangers",None - minor maintenance,,3C
QSI Observation,Two small excavations near by B92-D-0045 barricads skids are without causion and HP hoses not placed at specifed location.,Safety - collision,,
QSI Observation,Disordered Freon cylinders and other materials are kept inside AC shop on welding shop Bldg#111 which need to be secured and arranged.,Others,,
QSI Observation,Main substation has a couple of burned lights,None - minor maintenance,,
Employee Suggestion,"To apply PIBs weekly checklists. All PIBs must be checked at least weekly by instrument technician. He must check the cabinets status, cards, fin fans, and AC.",Safety - fire and explosion,,
Employee Suggestion,we need to install H2S monitor in Acid gas compression train #1 in the fin fan platform.,Safety - contact with chemicals,,
QSI Observation,B90-301-FP-001 at PIB-5 has a silenced alarm,None - minor maintenance,,
QSI Observation,Substation#401 Battery room there is one battery without cap open,Safety - contact with chemicals,,
Near Miss,oily water sewer cover is broken,None - minor maintenance,,3C
Near Miss,"1,16"" spanner fall from the discharge skid of F.F.S",Safety - collision,,3C
QSI Observation,Some of SCBA face mask are not cleaned and without cover by plastic. As per reference G.I. 1781.001,None - minor maintenance,,
QSI Observation,Welding Workshop: 2- Disconnect switch (B56-111-DS PP-06) in off position without lockout tagout.,Safety - electric,,
Unsafe Condition,In D-0007 NGL SCRAPER LAUNCHER we have 2 Spectacle Blinds on the open position for MOV-0004 & MOV-0102.The Spectacle blinds should be replaced by Spacer blind.,None,,
QSI Observation,"Small diameter blind flanges were observed removed / missing, loosed or installed incorrectly in different areas across the Unit. Review all operational procedures where the removal of blind flanges are required to ensure proper installation of the b",None - minor maintenance,,1C
Unsafe Condition,OBSTACLES IN THE EMERGENCY DOOR CORRIDOR,Safety - collision,,
QSI Observation,Several brackets holding floor grating panels were observed loosed. Inspect floor grating panel and repair / correct unsafe condition. Facilities location includes but are not limited to the area in front of 31-TE-1097 and the area in front of 230V/3,None - minor maintenance,,
QSI Observation,Electrical test bench shall be switched when it?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s not utilized in maintenance building.,Safety - fire and explosion,,
QSI Observation,OWS near G-0209 A/B needs houskeeping,None - minor maintenance,,
QSI Observation,Fire hose Reel #07 fire inspection record is expire,Safety - fire and explosion,,
Employee Suggestion,All plant SSD lights to be numbered/stenciled facing the plant to be easy for seeing and reporting the fault one.,Others,,1C
Employee Suggestion,stop sign on the left side of the Aramco bus,Safety - collision,,1C
Near Miss,faling cable tray cover,None - minor maintenance,,2C
Employee Suggestion,"Every day, there are some employees visit the areas without the company of operators. I think there should be extra radios in each area that can be given to visitors (Aramco Employees) along with their visitor cards. In case of any kind of emergencie",Safety - fire and explosion,,1C
QSI Observation,oil skid for IGC#1 needs cleaning & Maintanance due to oil accumilation,Safety - slip trip and fall,,
Unsafe Condition,SAFETY SHOWER,Safety - contact with chemicals,,
QSI Observation,Improve Joint Site Inspection (JSI) practices to successfully be conducted with a field visit of both issuer and receiver to close out the work permits to ensure that the site is returned back to normal appropriately. Several drain funnels and catch,Others,,
QSI Observation,Consider painting hose reels faded red color.,Safety - electric,,
Employee Suggestion,"In all PIB?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s, only one or two DCS screen for operators. During emergency, the screen will be not enough for console operators to con tinue his duty in controlling the plant. (Imagine an operator regularly use at least 6 screens to control one NGL t",Others,,
QSI Observation,Most of hose reel nozzel was open,Safety - fire and explosion,,
Employee Suggestion,in Utility & Cogen smoking shelter there is a crack on the floor could trip any one not paying attentionRepaint the floor,Safety - slip trip and fall,,
Unsafe Condition,R.O BUILDING,Safety - fire and explosion,,1C
Unsafe Condition,ELECTRIC POLE IS FALLEN,Safety - fire and explosion,,4C
QSI Observation,Daily / Weekly / Monthly check list not maintained,None - minor maintenance,,
QSI Observation,"2- Double Check the following alarms that recorded more than 9000 alarms (92LIT3105, 87PV2007B, 81TV1011).",None - minor maintenance,,
Employee Suggestion,Admin building restrooms main entrance should be equipped with side glass.,None - minor maintenance,,
QSI Observation,18 florescent light not working at substation P- 200,None - minor maintenance,,
Near Miss,Ice fall from top of C-201,Safety - collision,,3C
QSI Observation,Safety arm on top of south ladder at 1st level platform leading and next to B91-D-0102C is not self-closing. Fix safety arm to be self-closing as required.,None - minor maintenance,,
Unsafe Condition,POWER PANLE-043,None,,1C
QSI Observation,Damage Insulation for Cooling Water HE E-0051.,None - minor maintenance,,
QSI Observation,ZV local control panel button caps need to be closed. Noted were (21-ZCP-1118 and 10-ZCP-3002),Safety - electric,,
QSI Observation,Remove hoses & materials beside G-0006 E,Safety - slip trip and fall,,
Employee Suggestion,"as this order Task Management: 4041998391, Methanol battery limit - Unsafe Condition",Safety - collision,,
Employee Suggestion,"Launcher area has ESD tag in D0006 11PI 3040A/B and C is with out tag , It has the only Samsung tag fro commission. It should be label with red tag since it is ESD tag to avoid and incident and to be clear for the worker.",Safety - electric,,1C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Lean Amine carbon filter D-0208 and all surrounding line and equipment need to be hydro jetting or coating,None - minor maintenance,,
Employee Suggestion,I noticed that some areas stored chemicals such as oil and solvent in maintenance workshop and this is not safe Therefore i suggest to have chemical store for each area.,Others,,
Employee Suggestion,"The antifoam tank are frequently refilled in gas treat unit (once every two days in GT) however next the to the antifoam skids the minimum PPE required to do the refilling is not available, I suggest installing a box next to the antifoam skids in bot",Safety - contact with chemicals,,
Employee Suggestion,We need to install CHB label on G-0003 near sample point location on Product surge .,Safety - contact with chemicals,,
QSI Observation,H/C smell near at G-0201 A/B,None - minor maintenance,,
